Timestamp,Text,User,Likes,Retweets
2017-11-20 12:18:07,short $GBPUSD $GBP $FXB,qwerl_nouvel,0,0
2017-11-20 12:18:19,"Trade with >70% probabiliy closed: buy @ 1,1773 $EURUSD $FXE",qwerl_nouvel,0,0
2017-11-20 12:18:20,bull wave is comming - buy the breakout $EURUSD $FXE,qwerl_nouvel,0,0
2017-11-20 12:18:26,SHORT $EURUSD …,TV_TradingIdeas,0,1
2017-11-20 12:18:31,ALERT: New Social signal created on $USDCAD - Buy at 1.2782 - Time: 12:18 - Strength: 6. Powered by,TrustedStocks,0,0
2017-11-20 12:18:56,HEAD & SHOULDER & TREND ANALYSIS ( A T ) $USDCAD …,TV_TradingIdeas,0,1
2017-11-20 12:19:14,Taktischer #TRADE Alert Long $USDJPY @ 113.25 Short $GC 1291.3 Short $CL 56.50,derCrash_,0,0
2017-11-20 12:22:16,"$AUDUSD без больших откатов снижается уже 7-й день. Шорт держу,завтра большой…",dmatrade,0,0
2017-11-20 12:23:53,Short USD/JPY $USDJPY …,TV_TradingIdeas,0,0
2017-11-20 12:23:53,Short USD/JPY - $USDJPY chart …,Forexwecan,0,0
2017-11-20 12:24:58,USDCAD - OCOI ? $USDCAD …,TV_TradingIdeas,1,0
2017-11-20 12:25:06,$AUDUSD Trade Plan visit,realpipninja,0,0
2017-11-20 12:26:02,multiple harmonic patterns to\u2026 $USDCAD …,TV_TradingIdeas,0,1
2017-11-20 12:27:51,USDCAD - OCOI ? $USDCAD …,TV_TradingIdeas,0,0
2017-11-20 12:29:27,anticipating bullish wave $USDCHF …,TV_TradingIdeas,0,1
2017-11-20 12:30:02,Today's $EURUSD #Forex signal- look for a short around 1.1891: pic.twitter.com/Fryp4oNhPL,Daily_Forex,0,0
2017-11-20 12:30:52,SELL UJ $USDJPY …,TV_TradingIdeas,0,1
2017-11-20 12:32:29,Long USDCAD $USDCAD …,TV_TradingIdeas,0,0
2017-11-20 12:36:16,FX-Mittagsbericht: #Euro auf Erholungskurs #börse #finanzen $GBPUSD,godmodetrader,0,0
2017-11-20 12:36:38,EURUSD Daily $EURUSD …,TV_TradingIdeas,0,0
2017-11-20 12:37:05,Short USD/JPY $USDJPY $FXY,qwerl_nouvel,0,0
2017-11-20 12:37:09,Sell UCHF $USDCHF …,TV_TradingIdeas,0,0
2017-11-20 12:37:31,Доллар на\u2026 $EURUSD …,TV_TradingIdeas,0,0
2017-11-20 12:39:40,$USDCAD | Check Out My Customized Interactive Chart #forex … via,jbakedacake,0,0
2017-11-20 12:40:00,"$EURUSD - Доллар наслаждается тишиной, так как шум может быть неприятным - …",ru_tradingview,0,0
2017-11-20 12:40:00,$USDCHF - Sell UCHF - …,vn_tradingview,0,0
2017-11-20 12:40:30,Sell UCAD $USDCAD …,TV_TradingIdeas,0,0
2017-11-20 12:42:24,"$EUR $USD $GBP $CHF Simple #forexstrategy, up to 1000 pips a month since '12, easy to follow. #forex #forexsignals #trading #trade $EURUSD $USDCHF $gbpusd #EURUSD #Signals #forextrading #forexsignals #ForexTraderpic.twitter.com/BaD6j9mY1a",StockWebTrading,0,0
2017-11-20 12:43:33,"$EURUSD: врешь, не уйдешь!",FXStreetnewsru,0,0
2017-11-20 12:44:01,1.1750 intraday Level nun für taktische $EURUSD longs.,derCrash_,0,0
2017-11-20 12:44:12,EURUSD CYPHER $EURUSD …,TV_TradingIdeas,0,0
2017-11-20 12:44:20,El $GBPUSD pierde impulso después de llegar a máximos de 2 semanas,noticiasfx,0,0
2017-11-20 12:44:52,Auf Japans Außenhandel ist Verlass #börse #finanzen $USDJPY,godmodetrader,0,0
2017-11-20 12:45:31,El $GBPUSD pierde impulso después de llegar a máximos de 2 semanas,BorneoTrading,0,0
2017-11-20 12:45:48,GBP/USD : la livre augmente $GBPUSD …,TV_TradingIdeas,0,0
2017-11-20 12:46:30,EUR/USD fails to build on recovery beyond 1.18 handle $EURUSD #,godbole17,0,0
2017-11-20 12:46:37,PRZ // Bottom retest before c\u2026 $USDCHF …,TV_TradingIdeas,0,0
2017-11-20 12:47:02,USDCAD SHORT TRADING OPPORTUNITY $USDCAD …,TV_TradingIdeas,0,0
2017-11-20 12:47:33,Dollar enjoy\u2026 $EURUSD …,TV_TradingIdeas,0,0
2017-11-20 12:49:04,Even the $usdjpy $yen is having a hard time keeping up with the $comex manipulation. There is so much news that contradicts. Will it finally let go? $gld $slv $gdx $gdxj $nugt $jnug $silver $goldpic.twitter.com/3MzBAK4Q2y,Nysedaytraders,0,1
2017-11-20 12:50:00,$EURUSD - EURUSD Daily - …,ru_tradingview,0,0
2017-11-20 12:50:00,$EURUSD - Dollar enjoys lull as iffy tax reform data may spoil sentiments - …,tradingview,1,1
2017-11-20 12:50:00,The $GBPUSD #Forex signal- look for a short around 1.3344: pic.twitter.com/Nw4JtQiPA5,Daily_Forex,1,0
2017-11-20 12:50:04,GBP/USD: libra está creciendo $GBPUSD …,TV_TradingIdeas,0,0
2017-11-20 12:50:13,Minimum stop thresholds for all CHF deals today are unusually high. I’ve seen 15 pips minimum for $USDCHF #USDCHF and 20 for $EURCHF #EURCHF - #Forex #fx #daytrading,DayTradeScalps,1,0
2017-11-20 12:51:25,USDCAD source based analysis M15 $USDCAD …,TV_TradingIdeas,0,0
2017-11-20 12:51:28,potential Buy opportunity USDJPY $USDJPY …,TV_TradingIdeas,0,0
