2017-10-24 14:46:29.393000,b'UCAD Daily $USDCAD https://t.co/jylzRUpuCh TV_TradingIdeas',APPRENDRE A TRADER
2017-10-24 14:48:18.420000,b'long gbp on a dip https://t.co/cebQifVloz $GBPUSD $GBP $FXB',qwerl nouvèl
2017-10-24 14:49:02.653000,b'Short $USDCAD @ 1.26487',Javier Restrepo
2017-10-24 14:50:19.398000,"b""i'm abt to go long $USDJPY again, 5min chart""",isaac Samuel
2017-10-24 14:52:37.376000,b'Trades till midday $USDJPY https://t.co/VvhNv598Qj',Leonardo Hermoso
2017-10-24 14:53:45.913000,b'USDCAD - SELL $USDCAD https://t.co/KSZC4nxxdR',TV_Trading Ideas
2017-10-24 14:53:46.529000,b'RT @fxexplained: Prospects of a rate rise in the UK from @pope_stephen #FX #BankofEngland #BoE #MPC #GBPUSD $GBPUSD #FTSE $FTSE https://t.c\xe2\x80\xa6',Mollyboy Stackattack
2017-10-24 14:54:58.625000,b'RT @andreascseh: $USDJPY \xc2\xa5114 yet too early to be in Japanese #stocks above \xc2\xa5140 will get only interesting $EWJ $DXJ #BOJ #Nikkei @DavidIng\xe2\x80\xa6',Andreas Andersen
2017-10-24 14:55:11.882000,b'[UP in less than 5m]\n$EURUSD - Richmond Manufacturing Index\n\nReal time live data: https://t.co/I0WgdJQaeY',Forex Status
2017-10-24 14:55:12.735000,b'USDCAD - SELL $USDCAD https://t.co/TrN2E1ZcxN TV_TradingIdeas',APPRENDRE A TRADER
2017-10-24 14:55:40.356000,b'Trudeau and Poloz Are On an Economic Collision Course - BBG $USDCAD #cdnecon https://t.co/Z6KJJvglCN',Anthony Barton
2017-10-24 14:56:16.034000,b'ALERT: New MACD signal created on $AUDUSD - Sell at 0.77823 - Time: 13:56 - Strength: 5. Powered by https://t.co/MhOBzU3Rmx',Trusted Forex & CFD
2017-10-24 14:59:05.831000,b'[UP in less than 5m]\n$EURUSD - Richmond Manufacturing Index\n\nReal time live data: https://t.co/WWm6PDmVBq',ARIFAR FX
2017-10-24 15:00:58.494000,"b""RT @ItsForexTime: Watch Today's FXTM #MarketUpdate with @Lukman_FXTM - Key Events: $EURUSD $GBPUSD $GOLD https://t.co/KPVqBdW6Zp""",Lukman Otunuga
2017-10-24 15:02:02.465000,"b'Access curated tweets- high relevancy, less spam. Major Curriences $USDJPY $EURUSD https://t.co/aNwJKquvoR https://t.co/BJEn6bak3S'",FinBuzz
2017-10-24 15:02:42.842000,b'Forex $USDJPY (60 Min) Signal Pending Sell 113.74 MT Alpha SAR -UTC-20171024-140017 https://t.co/URNyqIOvTH',ITradeRobotSignals
2017-10-24 15:03:11.534000,b'USD/CAD Long Trade Opportunity - $USDCAD chart https://t.co/63mrBjjk16',norfkorean
2017-10-24 15:03:11.788000,b'USD/CAD Long Trade Opportunity $USDCAD https://t.co/aEVKVovByE',TV_Trading Ideas
2017-10-24 15:04:30.393000,b'Deutsche Bank WM: #Japan\xe2\x80\x99s election result won\xe2\x80\x99t solve underlying problems $USDJPY $WJ $DXJ https://t.co/X4Q8QXWhI3 @DavidInglesTV',Andreas Cseh
2017-10-24 15:05:20.554000,b'RT @JStanleyFX: USD/CAD Marches to Monthly Highs Ahead of BoC https://t.co/ItXisgSL7l $USDCAD $USD $EURUSD https://t.co/rDRCJGO7s1',DailyFX Team Live
2017-10-24 15:05:24.997000,b'Deutsche Bank WM: #Japan\xe2\x80\x99s election result won\xe2\x80\x99t solve underlying problems $USDJPY $EWJ $DXJ #BOJ https://t.co/X4Q8QXWhI3 @DavidInglesTV',Andreas Cseh
2017-10-24 15:05:30.878000,b'USD/CAD Long Trade Opportunity $USDCAD https://t.co/HSHmuYaGaH TV_TradingIdeas',APPRENDRE A TRADER
2017-10-24 15:06:15.364000,b'$GBPUSD Going LIVE with Lydia @faithmight Tomorrow 9:00 AM EST https://t.co/HZjz6ILzWa Lydia will teach how not be\xe2\x80\xa6 https://t.co/xMu8uzimmn',Dale Pinkert
2017-10-24 15:06:16.342000,b'#129307880 $USDJPY Closed Pips 39 https://t.co/dbr93axRs1',ForexAurum
